food_name,calories,protein,fat,carbohydrates,fiber
apple,52,0.2,0.2,14,2.4
banana,89,1.1,0.3,23,2.6
orange,47,0.9,0.1,12,2.4
chicken_breast,165,31,3.6,0,0
salmon,206,22,13,0,0
rice,130,2.7,0.3,28,0.4
bread,265,9,3.2,49,2.7
egg,155,13,11,1.1,0
milk,61,3.2,3.3,4.8,0
yogurt,59,3.5,3.3,4.7,0
potato,77,2,0.1,17,2.2
tomato,18,0.9,0.2,3.9,1.2
lettuce,15,1.4,0.2,2.9,1.3
carrot,41,0.9,0.2,10,2.8
broccoli,34,2.8,0.4,7,2.6
spinach,23,2.9,0.4,3.6,2.2
avocado,160,2,15,9,6.7
almonds,579,21,50,22,12.5
oats,379,13,6.9,66,10.6
quinoa,368,14,6,64,7
lentils,116,9,0.4,20,7.9
tofu,76,8,4.8,1.9,0.3
pizza,266,11,10,33,2.3
burger,295,17,14,30,1.5
fries,312,3.4,15,41,3.8
soda,42,0,0,11,0
chocolate,546,7.6,31,61,3.4
